20:18:11.078188 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1139
20:18:11.090158 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
20:18:11.094412 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 276
20:18:11.095597 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1139
20:18:11.100897 IP server.clickmeeting.com.27724 > 192.168.77.77.51390: UDP, length 58
20:18:11.105047 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 783
20:18:11.105987 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1139
20:18:11.111097 IP ubuntu20-04.59531 > router.lan.domain: 12551+ PTR? 3.161.60.139.in-addr.arpa. (43)
20:18:11.116883 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1124
20:18:11.121343 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 783
20:18:11.133507 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1124
20:18:11.137806 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 926
20:18:11.144256 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1124
20:18:11.149643 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
20:18:11.154071 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 276
20:18:11.155016 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1124
20:18:11.165150 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 927
20:18:11.171564 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1124
20:18:11.182400 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1124
20:18:11.193756 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1124
20:18:11.197777 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.48:8f:5a:98:f5:bc.8003, length 43
20:18:11.198799 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 717
20:18:11.204291 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 989
20:18:11.209762 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
20:18:11.209763 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 717
20:18:11.215172 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 276
20:18:11.217522 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 22
20:18:11.220552 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 989
20:18:11.231738 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 989
20:18:11.231740 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 833
20:18:11.234090 IP server.clickmeeting.com.23486 > 192.168.77.77.55330: UDP, length 46
20:18:11.234092 IP server.clickmeeting.com.23486 > 192.168.77.77.55330: UDP, length 46
20:18:11.234092 IP server.clickmeeting.com.27724 > 192.168.77.77.51390: UDP, length 46
20:18:11.234092 IP server.clickmeeting.com.27724 > 192.168.77.77.51390: UDP, length 46
20:18:11.242755 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 989
20:18:11.247922 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 833
20:18:11.253290 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1148
20:18:11.264298 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1148
20:18:11.264677 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 876
20:18:11.269775 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
20:18:11.274229 IP server.clickmeeting.com.23486 > 192.168.77.77.55330: UDP, length 50
20:18:11.275685 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 351
20:18:11.280563 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1101
20:18:11.286661 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 877
20:18:11.296755 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 648
20:18:11.299318 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 648
20:18:11.302069 IP server.clickmeeting.com.27724 > 192.168.77.77.51390: UDP, length 54
20:18:11.303010 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 870
20:18:11.304476 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 788
20:18:11.309902 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 788
20:18:11.319324 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 870
20:18:11.320714 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 770
20:18:11.327632 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1166
20:18:11.332346 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
20:18:11.335757 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 285
20:18:11.343376 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 964
20:18:11.354036 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 965
20:18:11.360241 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 887
20:18:11.368559 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 934
20:18:11.371941 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 888
20:18:11.384760 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 935
20:18:11.388290 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
20:18:11.396516 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 276
20:18:11.404697 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 848
20:18:11.407281 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 426
20:18:11.410090 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 848
20:18:11.420966 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 848
20:18:11.434573 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 1090
20:18:11.448777 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
20:18:11.453858 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 973
20:18:11.456213 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 276
20:18:11.459189 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 974
20:18:11.461954 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 1091
20:18:11.474799 IP server.clickmeeting.com.23486 > 192.168.77.77.55330: UDP, length 50
20:18:11.477563 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 795
20:18:11.494842 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 796
20:18:11.501966 IP server.clickmeeting.com.27724 > 192.168.77.77.51390: UDP, length 58
20:18:11.502882 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 799
20:18:11.508407 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
20:18:11.508408 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 799
20:18:11.515213 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 276
20:18:11.534337 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 70
20:18:11.538151 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 976
20:18:11.540564 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 70
20:18:11.546017 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 100
20:18:11.551926 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 1097
20:18:11.554349 IP 192.168.77.77.55330 > server.clickmeeting.com.23486: UDP, length 976
20:18:11.568382 IP 192.168.77.77.51390 > server.clickmeeting.com.27724: UDP, length 138
